Profiling main()
         32360166 function calls (32291039 primitive calls) in 63.379 seconds

   Ordered by: cumulative time
   List reduced from 5167 to 90 due to restriction <'agent.py|basis.py|model_dynamics.py|ergodic_controllers.py|barrier.py|replay_buffer.py|obstacles.py'>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   444868    1.387    0.000    3.746    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:156(withinReach)
     8442    0.097    0.000    3.124    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:544(calcHGradient)
    78006    0.497    0.000    2.756    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:44(push)
     1501    0.021    0.000    2.466    0.002 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:164(calcCkCoeffRecursive)
     3002    0.874    0.000    2.443    0.001 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:182(calcCkCoeff)
   424026    2.425    0.000    2.425    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:186(f)
     8442    0.196    0.000    1.959    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\agent.py:525(calcPotentialUGradient)
   109746    0.583    0.000    1.756    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:241(gradU)
  3312700    1.707    0.000    1.707    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:86(calcHk)
   163584    0.608    0.000    1.700    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:220(step)
   161300    0.611    0.000    0.611    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:50(Fk)
   125332    0.564    0.000    0.589    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:144(distanceToTheWall)
     2500    0.097    0.000    0.398    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:276(__call__)
     2500    0.088    0.000    0.354    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\basis.py:291(__call__)
   375090    0.160    0.000    0.293    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:244(<lambda>)
   132942    0.092    0.000    0.242    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:192(f_x)
   134442    0.066    0.000    0.228    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:212(h)
   134442    0.060    0.000    0.162    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:198(f_u)
     2000    0.113    0.000    0.148    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\ergodic_controllers.py:228(calcErgodicCost)
   563526    0.124    0.000    0.124    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:70(__len__)
     1500    0.007    0.000    0.116    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\replay_buffer.py:87(pushAction)
     1337    0.009    0.000    0.017    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\obstacles.py:52(_gradRhoFunc)
     3005    0.009    0.000    0.016    0.000 c:\Users\alexi\Documents\Diplomatiki\my_erg_lib\model_dynamics.py:176(reset)
