Ergodic cost: 73.828     i: 1880/4000    perc: 47.00%    dt/Ts: 1.71     remaining: 18 s         elapsed: 15.6 s (34 s)
Ergodic cost: 72.366     i: 1900/4000    perc: 47.50%    dt/Ts: 1.71     remaining: 18 s         elapsed: 15.8 s (34 s)
Ergodic cost: 70.782     i: 1920/4000    perc: 48.00%    dt/Ts: 1.69     remaining: 18 s         elapsed: 16.0 s (34 s)
Ergodic cost: 69.927     i: 1940/4000    perc: 48.50%    dt/Ts: 1.70     remaining: 18 s         elapsed: 16.2 s (34 s)
Ergodic cost: 70.686     i: 1960/4000    perc: 49.00%    dt/Ts: 1.71     remaining: 17 s         elapsed: 16.3 s (34 s)
Ergodic cost: 73.259     i: 1980/4000    perc: 49.50%    dt/Ts: 1.70     remaining: 17 s         elapsed: 16.5 s (34 s)
Ergodic cost: 76.023     i: 2000/4000    perc: 50.00%    dt/Ts: 1.71     remaining: 17 s         elapsed: 16.7 s (34 s)
Ergodic cost: 79.123     i: 2020/4000    perc: 50.50%    dt/Ts: 1.74     remaining: 17 s         elapsed: 16.8 s (34 s)
Ergodic cost: 82.819     i: 2040/4000    perc: 51.00%    dt/Ts: 1.73     remaining: 17 s         elapsed: 17.0 s (34 s)
Ergodic cost: 87.199     i: 2060/4000    perc: 51.50%    dt/Ts: 1.67     remaining: 16 s         elapsed: 17.2 s (33 s)
Ergodic cost: 91.699     i: 2080/4000    perc: 52.00%    dt/Ts: 1.69     remaining: 16 s         elapsed: 17.4 s (34 s)
Ergodic cost: 95.241     i: 2100/4000    perc: 52.50%    dt/Ts: 1.72     remaining: 16 s         elapsed: 17.5 s (34 s)
Ergodic cost: 97.760     i: 2120/4000    perc: 53.00%    dt/Ts: 1.71     remaining: 16 s         elapsed: 17.7 s (34 s)
Ergodic cost: 99.985     i: 2140/4000    perc: 53.50%    dt/Ts: 1.74     remaining: 16 s         elapsed: 17.9 s (34 s)
Ergodic cost: 102.516    i: 2160/4000    perc: 54.00%    dt/Ts: 1.69     remaining: 16 s         elapsed: 18.0 s (34 s)
Ergodic cost: 103.804    i: 2180/4000    perc: 54.50%    dt/Ts: 1.70     remaining: 15 s         elapsed: 18.2 s (34 s)
Ergodic cost: 103.069    i: 2200/4000    perc: 55.00%    dt/Ts: 1.72     remaining: 16 s         elapsed: 18.4 s (34 s)
Ergodic cost: 101.936    i: 2220/4000    perc: 55.50%    dt/Ts: 1.76     remaining: 16 s         elapsed: 18.6 s (34 s)
Ergodic cost: 101.716    i: 2240/4000    perc: 56.00%    dt/Ts: 1.70     remaining: 15 s         elapsed: 18.7 s (34 s)
Ergodic cost: 99.431     i: 2260/4000    perc: 56.50%    dt/Ts: 1.72     remaining: 15 s         elapsed: 18.9 s (34 s)
Ergodic cost: 98.993     i: 2280/4000    perc: 57.00%    dt/Ts: 1.74     remaining: 15 s         elapsed: 19.1 s (34 s)
Ergodic cost: 98.100     i: 2300/4000    perc: 57.50%    dt/Ts: 1.73     remaining: 15 s         elapsed: 19.3 s (34 s)
Ergodic cost: 98.737     i: 2320/4000    perc: 58.00%    dt/Ts: 1.69     remaining: 14 s         elapsed: 19.4 s (34 s)
Ergodic cost: 100.324    i: 2340/4000    perc: 58.50%    dt/Ts: 1.71     remaining: 14 s         elapsed: 19.6 s (34 s)
Ergodic cost: 102.418    i: 2360/4000    perc: 59.00%    dt/Ts: 1.69     remaining: 14 s         elapsed: 19.8 s (34 s)
Ergodic cost: 103.554    i: 2380/4000    perc: 59.50%    dt/Ts: 1.73     remaining: 14 s         elapsed: 19.9 s (34 s)
Ergodic cost: 104.910    i: 2400/4000    perc: 60.00%    dt/Ts: 1.69     remaining: 14 s         elapsed: 20.1 s (34 s)
Ergodic cost: 105.291    i: 2420/4000    perc: 60.50%    dt/Ts: 1.72     remaining: 14 s         elapsed: 20.3 s (34 s)
Ergodic cost: 104.250    i: 2440/4000    perc: 61.00%    dt/Ts: 1.72     remaining: 13 s         elapsed: 20.5 s (34 s)
Ergodic cost: 101.745    i: 2460/4000    perc: 61.50%    dt/Ts: 1.71     remaining: 13 s         elapsed: 20.6 s (34 s)
Ergodic cost: 98.631     i: 2480/4000    perc: 62.00%    dt/Ts: 1.72     remaining: 13 s         elapsed: 20.8 s (34 s)
Ergodic cost: 96.603     i: 2500/4000    perc: 62.50%    dt/Ts: 1.72     remaining: 13 s         elapsed: 21.0 s (34 s)
Ergodic cost: 95.272     i: 2520/4000    perc: 63.00%    dt/Ts: 1.71     remaining: 13 s         elapsed: 21.2 s (34 s)
